date,header,rating,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended,aircraft,verified_status,review_content,combined_content,textblob_sentiment,vader_sentiment,rating_sentiment,year
2020-09-23,They sell tickets to cancel them shortly after,1,Couple Leisure,Economy Class,Sydney to Auckland via Papeete,September 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,False,they sell tickets to cancel them shortly after we bought 2 tickets sydneypapeete and they cancelled it 10 days later supposedly because of covid when the situation has not changed since no mandatory quarantine in papeete and no change on restrictions at the nz border and they dont even offer us a refund because its not they fault they sell tickets to cancel them shortly after and thus accumulate credit knowing that some customers will not be able to use or sell it i absolutely do not recommend air new zealand,They sell tickets to cancel them shortly after We bought 2 tickets Sydney-Papeete and they cancelled it 10 days later supposedly because of COVID when the situation has not changed since (no mandatory quarantine in Papeete and no change on restrictions at the NZ border). And they don't even offer us a refund because “it's not they fault”. They sell tickets to cancel them shortly after and thus accumulate credit knowing that some customers will not be able to use or sell it. I absolutely do not recommend Air New Zealand,Positive,Negative,Negative,2020
2020-09-17,worse than budget airlines,1,Solo Leisure,Economy Class,Auckland to Sydney,September 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,worse than budget airlines the absolute worst customer service given the current climate i had a connected flight booked to sydney and received an email changing the time only one week after booking ten days after this a week before i was due to fly i received a second email confirming the time changes from the first however air new zealand had also discreetly changed the date to 3 weeks later while maintaining the exact same time i noticed the change two days prior to flying and called the airline in a panic after being kept on hold i spoke to a robot like woman who did not once apologise for a their emails being incorrect b the fact they had changed the flight dates at all she provided no solutions and no reimbursements there was no way for my to get to sydney so in the end i had to pay 800 extra to book a singapore airlines operated by air nz flight home direct from auckland i missed my flight from sydney to london the cost of which i have to refrain myself from thinking about as it makes my heart race every time the customer service was unhelpful tried to put me on hold push me to speak to another team got the dates for the day i wanted to fly which then meant an increase of prices and incorrectly hold me the price i had eventually forked out also included an extra bag at the airport that 24kg extra bag was going to cost me 500 on account of air nz having a ridiculous fee of 250 per 23kg if you exceed this there is no oversized fee but you have to pay for an additional bag in the end as i was flying through singapore airlines operated by air nz the very kind gentleman at the counter who was on the phone to air nz getting rates took pity on me and wavered the fee he apologised for air nz and said in times like this when were all just desperate to get home we need to be kind thats the attitude i would expect of new zealand national airline i will never fly air nz ever again the service i received was worse than budget airlines such as easy jet and ryanair who i always expect to be trying to take my money at every turn i would not have expected this of air nz who leave me 1000 poorer than i was 10 days ago for no reason at all the flight via singapore airlines was exceptional and i will be leaving them a wonderful review,"worse than budget airlines The absolute worst customer service given the current climate. I had a connected flight booked to Sydney and received an email changing the time only one week after booking. Ten days after this, a week before I was due to fly, I received a second email confirming the time changes from the first, however Air New Zealand had also discreetly changed the date to 3 weeks later, while maintaining the exact same time. I noticed the change two days prior to flying and called the airline in a panic. After being kept on hold, I spoke to a robot like woman who did not once apologise for a) their emails being incorrect b) the fact they had changed the flight dates at all. She provided no solutions, and no reimbursements. There was no way for my to get to Sydney, so in the end I had to pay £800 extra to book a Singapore Airlines operated by Air NZ flight home direct from Auckland. I missed my flight from Sydney to London, the cost of which I have to refrain myself from thinking about as it makes my heart race every time. The customer service was unhelpful - tried to put me on hold, push me to speak to another team, got the dates for the day I wanted to fly which then meant an increase of prices, and incorrectly hold me the price I had eventually forked out also included an extra bag. At the airport that 24kg extra bag was going to cost me $500 on account of Air NZ having a ridiculous fee of $250 per 23kg. If you exceed this there is no oversized fee, but you have to pay for an additional bag. In the end, as I was flying through Singapore Airlines operated by Air NZ the very kind gentleman at the counter (who was on the phone to Air NZ getting rates) took pity on me and wavered the fee. He apologised for Air NZ, and said in times like this when we're all just desperate to get home we need to be kind. That's the attitude I would expect of New Zealand national airline. I will never fly Air NZ ever again. The service I received was worse than budget airlines such as Easy Jet and Ryanair who I always expect to be trying to take my money at every turn. I would not have expected this of Air NZ who leave me £1000 poorer than I was 10 days ago for no reason at all. The flight via Singapore Airlines was exceptional and I will be leaving them a wonderful review!",Positive,Positive,Negative,2020
2020-09-03,just allowed one 23kg bag per person,1,Couple Leisure,Economy Class,Auckland to Los Angeles,September 2020,1.0,1.0,-1.0,-1.0,3.0,-1.0,1.0,False,,True,just allowed one 23kg bag per person i have a complaint about the service of this company we bought a flight for today the flight is from auckland to houston the problem is that they just allowed one 23kg bag per person so my partner and me decided to pay an extra bag this one supposed to be cheaper if we would have payed online but as the flight has a connection from la to houston with united airlines we couldnt do it online when we called the customer service attendant told us that the extra bag is going to be 250nzd plus 160nzd of the heavy charge we didnt thought that this total payment will be 500nzd in total they charged 250nzd because of the extra bag and 250nzd because the latter was 32kg if we had known this we would have pay 2 extra bag of 250nzd if you do the maths they are charging for 46kg and we are carrying on just 32kg this is how air companies still the money from customers even in this hard situation that the world is going through not even our belongings in that bag have this value but they are really important for us so we couldnt leave it behind a last thing to add the front desk attendant was the worst ever he didnt even let us explain him the situation interrupted all the time apparently he didnt speak english and he laughed in our face all the time,"just allowed one 23kg bag per person I have a complaint about the service of this company. We bought a flight for today. The flight is from Auckland to Houston. The problem is that they just allowed one 23kg bag per person, so, my partner and me decided to pay an extra bag. This one supposed to be cheaper if we would have payed online, but as the flight has a connection from LA to Houston with United Airlines, we couldn’t do it online. When we called, the customer service attendant told us that the extra bag is going to be 250NZD plus 160NZD of the heavy charge. We didn’t thought that this total payment will be 500NZD in total. They charged 250NZD because of the extra bag and 250NZD because the latter was 32kg. If we had known this, we would have pay 2 extra bag of 250NZD. If you do the maths, they are charging for 46kg and we are carrying on just 32kg. This is how air companies still the money from customers, even in this hard situation that the world is going through. Not even our belongings in that bag have this value, but they are really important for us, so we couldn’t leave it behind. A last thing to add, the front desk attendant was the worst ever. He didn’t even let us explain him the situation, interrupted all the time. Apparently he didn’t speak English, and he laughed in our face all the time.",Negative,Negative,Negative,2020
2020-08-30,Air NZ you are not being compassionate or considerate,1,Family Leisure,Economy Class,Sydney to Queenstown,January 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,air nz you are not being compassionate or considerate air nz you are not being compassionate or considerate and are only considering yourselves in this covid time we booked you in december 2019 8 tickets sydqueenstown and then covid hits and air nz cancel the flights on us in july for a trip in september 2020 we completely understand as your borders are closed not our fault or yours however all you have done is offer a credit for 12 months which is unacceptable we now have in excess of 3500 in credit return our money as its our money not yours to hold onto some of us have no job no income with children to feed and you offer no compassion fix this and do the right thing we eagerly await your response,"Air NZ you are not being compassionate or considerate Air NZ you are not being compassionate or considerate and are only considering yourselves in this COVID time. We booked you in December 2019 (8 tickets SYD-Queenstown) and then COVID hits and Air NZ cancel the flights on us in July for a trip in September 2020. We completely understand as your borders are closed (not our fault or yours), however all you have done is offer a credit for 12 months, which is unacceptable. We now have in excess of $3,500 in credit, return our money as it's our money not yours to hold onto. Some of us have no job, no income with children to feed and you offer no compassion, fix this and do the right thing? We eagerly await your response.",Positive,Positive,Negative,2020
2020-08-20,won't even refund the flight money,1,Solo Leisure,Economy Class,Sydney to Auckland,August 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,False,wont even refund the flight money was booked in to go home to fiji melbourne to sydney to fiji in the meantime new zealand had declared a 12 hr max layover which my connecting fights exceeded although they knew about this they did not notify passengers all 30 of them and had to be quarantined in sydney for 2 nights before return to melbourne now they wont even refund the flight money let alone all the extra expenses never fly with them,"won't even refund the flight money Was booked in to go home to Fiji, Melbourne to Sydney to Fiji. In the meantime New Zealand had declared a 12 hr max. Layover which my connecting fights exceeded. Although they knew about this they did not notify passengers (all 30 of them) and had to be quarantined in Sydney for 2 nights before return to Melbourne. Now they won't even refund the flight money let alone all the extra expenses. Never fly with them!!",Negative,Negative,Negative,2020
2020-08-19,great flight with no problems,10,Solo Leisure,Economy Class,Auckland to Sydney,February 2020,4.0,1.0,4.0,4.0,4.0,-1.0,4.0,True,Boeing 737,False,great flight with no problems auckland to sydney in february 2020 it was great flight with no problems i was unable to pull up my booking on my phone so i had to go to customer service who printed it out i will fly air new zealand whenever i can,great flight with no problems Auckland to Sydney in February 2020. It was great flight with no problems. I was unable to pull up my booking on my phone so I had to go to customer service who printed it out. I will fly Air New Zealand whenever I can.,Positive,Positive,Positive,2020
2020-08-18,treat a customer in such a disgusting manner,1,Solo Leisure,Economy Class,Auckland to Dunedin,August 2020,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,False,,False,treat a customer in such a disgusting manner after having my 3rd flight cancelled during the covid 19 i am seriously never going to book another flight with air new zealand i was released from my 14 quarantine at auckland after traveling back from australia only to find my flight from auckland had been once again cancelled this left me stranded in a city with nowhere to go i had to spend the freezing cold night on the street as the manager at the domestic terminal said they wont provide me with accommodation this left me worried for my safety and my health i can not believe an airline would treat a customer in such a disgusting manner and it has left a very bitter taste in my mouth thankfully my children werent with me on this occasion finally i was able to get on a flight back to dunedin the next day but to rub salt into my wounds my flight which was originally a direct flight was now a 6 hour flight due to having to stop over in christchurch for 3 hours i would be very aware if you are booked to fly with air new zealand as i find it totally disgusting in the treatment i have received,treat a customer in such a disgusting manner After having my 3rd flight cancelled during the covid 19 I am seriously never going to book another flight with Air New Zealand. I was released from my 14 quarantine. At Auckland after traveling back from Australia only to find my flight from Auckland Had been once again cancelled. This left me stranded in a city with nowhere to go. I had to spend the freezing cold night on the street as the manager at the domestic terminal said they won't provide me with accommodation. This left me worried for my safety and my health. I can not believe an airline would treat a customer in such a disgusting manner and it has left a very bitter taste in my mouth. Thankfully my children weren't with me on this occasion.  Finally I was able to get on a flight back to Dunedin the next day. But to rub salt into my wounds my flight which was originally a direct flight was now a 6 hour flight due to having to stop over in Christchurch for 3 hours. I would be very aware if you are booked to fly with Air New Zealand as I find it totally disgusting in the treatment I have received.,Negative,Negative,Negative,2020
2020-07-13,not entitle you to a refund,1,Couple Leisure,Economy Class,Auckland to Papeete,July 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,not entitle you to a refund almost by chance we find on the airlines website that our flight has been canceled given the period it is not surprising what instead upsets is that the anz did not consider it advisable to notify us no mail no message nothing who knows how long the flight was no longer active without us knowing it and this is only the beginning on the site the only refund option is to accept a 12month voucher we write rather resentful to the company asking for a full refund a nice young lady answers us who first asks us for authorization to deal on behalf of all passengers there are only two passengers and we signed the email on behalf of both and then she writes us that our type of ticket does not entitle you to a refund but only to a voucher which we will soon receive i would add that the tollfree number for italian customers on the companys website is nonexistent quasi per caso scopriamo sul sito della compagnia che il nostro volo è stato cancellato visto il periodo non stupisce quello che invece sconvolge è che la anz non abbiamo ritenuto opportuno avvisarci nessuna mail nessun messaggio niente chissà da quanto tempo il volo non era più attivo senza che noi lo sapessimo e questo è solo linizio sul sito lunica possibilità di rimborso è accettare un buono valido 12 mesi scriviamo piuttosto risentiti alla compagnia chiedendo il rimborso totale ci risponde una simpatica signorina che prima ci chiede lautorizzazione a trattare a nome di tutti i passeggeri i passeggeri sono solo due e abbiamo firmato la mail a nome di entrambi e successivamente ci scrive che il nostro tipo di biglietto non da diritto ad un rimborso ma solo ad un buono che riceveremo presto aggiungo che il numero verde dedicato ai clienti italiani presente sul sito della compagnia è inesistente,"not entitle you to a refund Almost by chance we find on the airline's website that our flight has been canceled. Given the period it is not surprising, what instead upsets is that the ANZ did not consider it advisable to notify us: no mail, no message, nothing. Who knows how long the flight was no longer active without us knowing it. And this is only the beginning! On the site, the only ""refund"" option is to accept a 12-month voucher. We write rather resentful to the company asking for a full refund, a nice young lady answers us who first asks us for authorization to deal on behalf of all passengers (there are only two passengers and we signed the email on behalf of both) and then she writes us that our type of ticket does not entitle you to a refund but only to a voucher, which we will soon receive. I would add that the toll-free number for Italian customers on the company's website is non-existent.  Quasi per caso scopriamo sul sito della compagnia che il nostro volo è stato cancellato. Visto il periodo non stupisce, quello che invece sconvolge è che la ANZ non abbiamo ritenuto opportuno avvisarci: nessuna mail, nessun messaggio, niente. Chissà da quanto tempo il volo non era più attivo senza che noi lo sapessimo. E questo è solo l'inizio! Sul sito l'unica possibilità di ""rimborso"" è accettare un buono valido 12 mesi. Scriviamo piuttosto risentiti alla compagnia chiedendo il rimborso totale, ci risponde una simpatica signorina che prima ci chiede l'autorizzazione a trattare a nome di tutti i passeggeri (i passeggeri sono solo due e abbiamo firmato la mail a nome di entrambi) e successivamente ci scrive che il nostro tipo di biglietto non da diritto ad un rimborso ma solo ad un buono, che riceveremo presto. Aggiungo che il numero verde dedicato ai clienti italiani, presente sul sito della compagnia, è inesistente.",Positive,Negative,Negative,2020
2020-07-02,refusing to refund,1,Couple Leisure,Premium Economy,Adelaide to Auckland,May 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,refusing to refund tickets were purchased precovid to nz for a cruise covid hits borders and countries closed flights cancelled we all know this story however air new zealand are refusing to refund my parents money who are on a pension and have some disabilities they have delayed deflected repeated and finally a 1 year credit with no agreement or consultation how dare they refuse to refund flights they can not provide how is it possible the airlines can just say no we are keeping your money,"refusing to refund Tickets were purchased pre-covid to NZ for a cruise. Covid hits, borders and countries closed, flights cancelled. We all know this story. However, Air New Zealand are refusing to refund my parents money who are on a pension and have some disabilities. They have delayed, deflected, repeated and finally a 1 year credit, with ""NO"" agreement or consultation. How dare they refuse to refund flights they can not provide. How is it possible the Airlines can just say, no, we are keeping your money.",Positive,Negative,Negative,2020
2020-06-20,Air New Zealand reputation tarnished,1,Solo Leisure,Economy Class,Christchurch to Singapore,June 2020,3.0,3.0,2.0,2.0,1.0,4.0,1.0,False,,True,air new zealand reputation tarnished the way air new zealand handles th covid19 situation is very irresponsible no response from them except once regarding how much credit i have its been 3 weeks since my flight has been cancelled by them without warning no notifications sent out by them when flight was cancelled i called in twice to rebook my flight as credit refund couldnt allow me to book online both calls were only recording my details 2 weeks passed no call back or whatsoever customer service response rate is 0 i always fly country airline when im visiting the country right now air new zealand reputation tarnished,"Air New Zealand reputation tarnished The way Air New Zealand handles th Covid-19 situation is very irresponsible. No response from them except once, regarding how much credit I have. It's been 3 weeks since my flight has been cancelled by them without warning. No notifications sent out by them when flight was cancelled. I called in twice to re-book my flight (as credit refund couldn't allow me to book online), both calls were only recording my details. 2 weeks passed, no call back or whatsoever. Customer service response rate is 0. I always fly country airline when I'm visiting the country. Right now, Air New Zealand reputation tarnished.",Positive,Negative,Negative,2020
2020-06-09,Not refunding flights,9,Family Leisure,Economy Class,Auckland to Papeete,June 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,not refunding flights auckland to papeete booked for late june not refunding flights will not be booking again with them they should be refunding since the government gave them a loan,Not refunding flights Auckland to Papeete booked for late June. Not refunding flights. Will not be booking again with them. They should be refunding since the government gave them a loan.,Negative,Neutral,Positive,2020
2020-05-29,I cannot get a refund,1,Couple Leisure,Premium Economy,Cairns to Vancouver via Auckland,May 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,i cannot get a refund i cannot get a refund for flights to canada cancelled by air new zealand any air nz flight to the usa or transiting usa get refunds but this company still refuses to do the right thing by kiwis and australians flying to other destinations its immoral unethical and corrupt im down a6200 and all ive been offered is a credit that i may never use and does not pay bills touching 70 years old and need my a6200 not a credit to become a unsecured creditor of air nz,"I cannot get a refund I cannot get a refund for flights to Canada cancelled by Air New Zealand. Any Air NZ flight to the USA or transiting USA get refunds but this company still refuses to do the right thing by Kiwis and Australians flying to other destinations. It's immoral, unethical and corrupt. I'm down A$6200 and all I've been offered is a credit that I may never use and does not pay bills. Touching 70 years old and need my A$6,200 not a credit to become a unsecured creditor of Air NZ.",Positive,Negative,Negative,2020
2020-05-26,refused to offer a refund,1,Solo Leisure,Business Class,Perth to Christchurch,April 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,refused to offer a refund perth to christchurch disgrace bought a business flight air new zealand cancelled my flight and refused to offer a refund i cant use the credit in 12 months as my wife is pregnant and i wont be going on a holiday any time soon how can you pay for a service that they dont offer and not get a refund australian airlines offered refunds dont support air new zealand,"refused to offer a refund Perth to Christchurch. Disgrace - bought a business flight, Air New Zealand cancelled my flight and refused to offer a refund. I can’t use the credit in 12 months as my wife is pregnant and I wont be going on a holiday any time soon. How can you pay for a service that they don’t offer and not get a refund. Australian airlines offered refunds. Don't support Air New Zealand.",Positive,Negative,Negative,2020
2020-05-17,Don't expect a refund,1,Couple Leisure,Business Class,Auckland to Vancouver,May 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,dont expect a refund dont expect a refund if your flight is cancelled by them we were booked for a 6 week trip involving 6 different airlines before covid19 struck 5 of those 6 airlines provided us with a full refund when our flights were cancelled all of them except air new zealand did the right thing we were charged 500 in cancellation fees for 2 tickets that we didnt cancel they did when i told the customer service rep it wasnt our fault he simply said its not our fault either how can you charge a fee for a trip you cant provide shame on air new zealand i will never use your airline,"Don't expect a refund Don't expect a refund if your flight is cancelled by them!! We were booked for a 6 week trip involving 6 different airlines before Covid-19 struck. 5 of those 6 airlines provided us with a full refund when our flights were cancelled. All of them except Air New Zealand did the right thing. We were charged $500 in cancellation fees for 2 tickets that we didn't cancel - they did! When I told the customer service rep ""it wasn't our fault"" he simply said ""it's not our fault either."" How can you charge a fee for a trip you can't provide? Shame on Air New Zealand. I will never use your airline.",Positive,Positive,Negative,2020
2020-05-14,are ignoring US aviation rules,1,Solo Leisure,Economy Class,Auckland to Houston,April 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,are ignoring us aviation rules my flights were canceled with no replacement service i refused a credit note valid for a one off purchase valid for one year as i was traveling for a one off event i was told this was a very good deal by the air nz customer service they owe me 2500 and are ignoring us aviation rules regarding fare refunds if the credit had of been valued for multiple flights and with no expiry date that would have been a semi decent offer but the fact they are legally obligated to give a full cash refund but are palming off hard working customers with a one year one off use credit note is disgusting the amount of lost custom in the future will reverse any money they are able to keep jetstar on the other hand refunded canceled tickets within 14 days so ill be using them in the future,are ignoring US aviation rules My flights were canceled with no replacement service. I refused a credit note valid for a one off purchase valid for one year. As I was traveling for a one off event. I was told this was a very good deal by the Air NZ customer service. They owe me $2500 and are ignoring US aviation rules regarding fare refunds. If the credit had of been valued for multiple flights and with no expiry date that would have been a semi decent offer. But the fact they are legally obligated to give a full cash refund but are palming off hard working customers with a one year one off use credit note is disgusting. The amount of lost custom in the future will reverse any money they are able to keep. Jetstar on the other hand refunded canceled tickets within 14 days so I'll be using them in the future.,Positive,Neutral,Negative,2020
2020-05-14,charged a cancellation fee,2,Couple Leisure,Business Class,Sydney to Christchurch,February 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,False,,False,charged a cancellation fee beware air new zealand ticket scam customers seeking a refund are charged a cancellation fee by air new zealand on flights cancelled by the airline current rules on credits allow for only one rebooked flight per person within 12 month period the future ticket price is not guaranteed residual credits are lost and no carry forward interest on prepaid flights do not agree to a credit for airline cancelled flights and expect an attempt to charge fees when seeking a refund on airline cancelled flights a prepaid ticket forms a contact and while air new zealand has elected to cancel flights thereby no longer delivering the service the customer has paid for it demands the customer send in a cancellation notice to trigger a refund which under their code of conduct allows the airline to charge the customer a cancellation fee,"charged a cancellation fee Beware Air New Zealand ticket scam. Customers seeking a refund are charged a cancellation fee by Air New Zealand on flights cancelled by the airline.  Current rules on credits allow for only one rebooked flight per person within 12 month period, the future ticket price is not guaranteed, residual credits are lost and, no carry forward interest on prepaid flights. Do not agree to a credit for airline cancelled flights and, expect an attempt to charge fees when seeking a refund on airline cancelled flights. A prepaid ticket forms a Contact and while Air New Zealand has elected to cancel flights (thereby no longer delivering the service the customer has paid for), it demands the customer send in a cancellation notice to trigger a refund which under their code of conduct allows the airline to charge the customer a 'cancellation' fee.",Positive,Negative,Negative,2020
2020-05-05,full refund within 2 days,10,Solo Leisure,Premium Economy,London to Los Angeles,September 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,True,,True,full refund within 2 days for some years now air new zealand has been my airline of choice on my annual trip from london to los angeles towards the end of 2019 i booked a flight for september 2020 in the knowledge that they were stopping this route as of october 2020 last week i discovered that as a result of covid 19 they would be cancelling this route with immediate effect and not resuming it i put in a refund request via the whatsapp link on their web and i had a full refund within 2 days this service equalled the great service i have always experienced on board i will miss travelling with them,full refund within 2 days For some years now Air New Zealand has been my airline of choice on my annual trip from London to Los Angeles. Towards the end of 2019 I booked a flight for September 2020 in the knowledge that they were stopping this route as of October 2020. Last week I discovered that as a result of Covid 19 they would be cancelling this route with immediate effect and not resuming it. I put in a refund request via the WhatsApp link on their web and I had a full refund within 2 days. This service equalled the great service I have always experienced on board. I will miss travelling with them.,Positive,Positive,Positive,2020
2020-04-19,I want full repayment,1,Couple Leisure,Premium Economy,London to Auckland via Los Angeles,March 2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,True,i want full repayment london to auckland via los angeles i booked air nz because of a friends recommendation a very expensive mistake air nz cancelled our flights from lhr to auckland via la over a month ago however in spite of contacting them by telephone about the cancellation and our further expenses for seat reservations i have still have not received any refunds they owe me almost 4500 i do not want a voucher or credit i want full repayment what a truly dreadful company they are clearly operating outside of the international regulations when the international aviation industry picks up again i will be avoiding this airline,"I want full repayment London to Auckland via Los Angeles. I booked Air NZ because of a friend's recommendation. A very expensive mistake! Air NZ cancelled our flights from LHR to Auckland via LA over a month ago. However, in spite of contacting them by telephone about the cancellation and our further expenses for seat reservations, I have still have not received any refunds. They owe me almost £4500.  I do not want a voucher or credit, I want full repayment.  What a truly dreadful company. They are clearly operating outside of the international regulations. When the international aviation industry picks up again I will be avoiding this airline!",Negative,Negative,Negative,2020
2020-03-30,Did not get my reserved seat,2,Solo Leisure,Economy Class,Vancouver to Auckland,March 2020,2.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,False,,True,did not get my reserved seat reserved seats in may 2019 for long haul legs from vancouver to auckland and then return paid my 10000 and travelled at the end of january 2020 and returned 3rd week of february did not get my reserved seat on either flight i sat behind my reserved seat on both flights when leaving auckland to fly to vancouver i asked two air new zealand employees about this and one said it always happens and she did not know why and the other said there is nothing she can do to help so i reached out to air new zealand online when i returned got my 10000 back but they did make out they were giving me something which they were not as it was my 10000 that they had had for 7 months then i find greg forans email so went straight to the top dog of the airline suggested that they could make it right to upgrade me on my next flight just as a starting point nope i got an apology first off i got brushed off and then came across the antigem of that airline from customer care which appears to be actually careless who stated in her last email to me was that they considered the matter closed and would not be corresponding on it any further they have none nothing to help me out zero zip not even interested to make any token offer shocking really happy to take your money but not to make small things right,"Did not get my reserved seat Reserved seats in May 2019 for long haul legs from Vancouver to Auckland and then return. Paid my $100.00 and travelled at the end of January 2020 and returned 3rd week of February. Did not get my reserved seat on either flight, I sat behind my reserved seat on both flights. When leaving Auckland to fly to Vancouver I asked two Air New Zealand employees about this and one said it always happens and she did not know why and the other said there is nothing she can do to help. So I reached out to Air New Zealand online when I returned. Got my $100.00 back but they did make out they were giving me something. Which they were not as it was my $100.00 that they had had for 7 months. Then I find Greg Foran`s email so went straight to the top dog of the airline. ""Suggested"" that they could make it right to upgrade me on my next flight just as a starting point. Nope - I got an apology. First off I got brushed off and then came across the anti-gem of that airline from Customer Care - which appears to be actually careless, who stated in her last email to me was that they considered the matter closed and would not be corresponding on it any further. They have none nothing to help me out, zero, zip, not even interested to make any token offer. Shocking really. Happy to take your money but not to make small things right.",Positive,Positive,Negative,2020
2020-03-22,personally thank her on our behalf,10,Couple Leisure,Economy Class,Melbourne to Aukland,March 2020,5.0,5.0,5.0,5.0,5.0,-1.0,5.0,True,,False,personally thank her on our behalf my wife and i flew melbourne to auckland on march 20 flight nz124 leaving melbourne at approximately 2pm the performance of the flight attendants was outstanding polite and professional what was more amazing was the assistance that we received from who i believe was the senior attendant on our flight as we could not find our transfer bus as we were leaving the terminal she appeared on the scene asking if she could help she soon had this quickly sorted and we were on our way this was going the extra mile especially considering that she was probably off duty and going home i cant remember her name but if possible i would like someone to personally thank her on our behalf,"personally thank her on our behalf My wife and I flew Melbourne to Auckland on March 20, flight NZ124 leaving Melbourne at approximately 2pm. The performance of the flight attendants was outstanding - polite and professional. What was more amazing was the assistance that we received from who I believe was the senior attendant on our flight as we could not find our transfer bus as we were leaving the terminal. She appeared on the scene asking if she could help. She soon had this quickly sorted and we were on our way. This was going the extra mile especially considering that she was probably off duty and going home. I cant remember her name but if possible I would like someone to personally thank her on our behalf.",Positive,Positive,Positive,2020
2020-03-06,very good for cleanness,8,Family Leisure,Economy Class,Auckland to Melbourne,March 2020,4.0,5.0,-1.0,5.0,5.0,-1.0,4.0,True,,False,very good for cleanness auckland to melbourne first time tried air new zealand feel it is very good for cleanness seat comfortable crew services are very good only thing is that the seat back is not adjustable,"very good for cleanness Auckland to Melbourne. First time tried Air New Zealand. Feel it is very good for cleanness, seat comfortable, crew services are very good. Only thing is that the seat back is not adjustable.",Positive,Positive,Positive,2020
2020-03-04,very attentive flight crew,10,Couple Leisure,Economy Class,Auckland to Christchurch,February 2020,5.0,5.0,5.0,-1.0,5.0,-1.0,5.0,True,A320,False,very attentive flight crew auckland to christchurch flew on this short flight on february 14th it was a surprisingly spacious aircraft plenty of leg room very attentive flight crew and refreshments included would highly recommend,"very attentive flight crew Auckland to Christchurch. Flew on this short flight on February 14th. It was a surprisingly spacious aircraft, plenty of leg room, very attentive flight crew and refreshments included. Would highly recommend.",Positive,Positive,Positive,2020
2020-02-27,not recommend flying Air NZ,2,Business,Economy Class,Auckland to Houston,February 2020,5.0,5.0,5.0,5.0,5.0,1.0,1.0,False,,True,not recommend flying air nz auckland to houston flew for business travel never again i had a huge issue checking bag when i checked in at kiosk they take advantage of passport holders outside of the us by making you follow all the prompts and swiping your card to check a bag and charging you 100 usd then the kiosk says to see customer service to get documents printed where they charge you again for the same bag they dont give you a receipt for the kiosk charge just the desk charge and when asked why the double charge customer care said sorry too bad and told me to deal with it really sneaky way to steal from customers by prompting them to the payment screen on kiosk and once card is swiped saying error please get documents from agent where they then charge you again would not recommend flying air nz,not recommend flying Air NZ Auckland to Houston. Flew for business travel... never again! I had a huge issue checking bag when I checked in at kiosk. They take advantage of passport holders outside of the US by making you follow all the prompts and swiping your card to check a bag and charging you $100 USD then the kiosk says to see customer service to get documents printed where they charge you AGAIN for the same bag. They don’t give you a receipt for the kiosk charge just the desk charge and when asked why the double charge customer care said sorry too bad and told me to deal with it. Really sneaky way to steal from customers by prompting them to the payment screen on kiosk and once card is swiped saying error please get documents from agent where they then charge you again. Would not recommend flying Air NZ.,Negative,Negative,Negative,2020
2020-02-26,cancelled and rebooked 3 times,2,Solo Leisure,Economy Class,Nelson to Niue via Auckland,February 2020,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,False,,True,cancelled and rebooked 3 times nelson to niue via auckland flights cancelled and rebooked 3 times air nz reluctantly provided only 1 night accomodation referring to their weather disruption policy waiting for the rebooked flights i spent more money on hotels in auckland airport then on the ticket itself in the end had to cancel the whole trip anyway air nz show very little understanding for their customers,"cancelled and rebooked 3 times Nelson to Niue via Auckland. Flights cancelled and rebooked 3 times. Air NZ reluctantly provided only 1 night accomodation, referring to their Weather Disruption Policy. Waiting for the rebooked flights, I spent more money on hotels in Auckland airport then on the ticket itself. In the end had to cancel the whole trip anyway. Air NZ show very little understanding for their customers.",Positive,Negative,Negative,2020
